businessname,submissiondate,businesstype,variable,value,percoftotal,total,label_en,label_ne,latitude,longitude,index
Nepal Pyramids Pvt Ltd,1,Travel and Tour Operator,i_fin_revenue_chng_2020_v_2019,4,22.0,24,Revenue became 25% of 2019,राजस्व २०१९ को २५% भयो ,27.7650888094923,85.363349712796,311
Hotel Vinayak pvt ltd,2,Restaurant and Bar,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,26.98806,85.89996,312
Grill n’ Chill Restro and Bar,2,Restaurant and Bar,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,28.22345,83.9888,313
Suburb cafe,2,Hotel,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,27.684759,85.312688,314
hostel nextdoor,2,Hotel,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,27.684944,85.315922,315
HOTEL BLUE MAGNET & MULTIPURPUSE PVT.LTD.,1,Hotel,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,28.2148186,83.9618638,316
Shisha Lounge & Bar Pvt Ltd,1,Restaurant and Bar,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,27.7153038584918,85.3103238891712,317
Downtown Restaurant,2,Restaurant and Bar,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,27.68076,85.31722,318
Pilgrims Guest House P.Ltd,1,Hotel,i_fin_revenue_chng_2020_v_2019,3,7.0,8,Revenue became 50% of 2019,राजस्व २०१९ को ५०% भयो ,27.717619,85.3115799,319
Alliance Treks & Expedition Pvt. Ltd.,2,Travel and Tour Operator,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.71223,85.31062,320
Mandala Handicrafts,2,Handicraft,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.71297,85.31228,321
Little buddha restaurant &lounge bar,1,Restaurant and Bar,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.7141228,85.3116181,322
Reggae Bar Restaurant & lounge pvt ltd,2,Restaurant and Bar,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.7147492,85.3102089,323
Kathmandu Spa,2,Other,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.7161657,85.3108951,324
Krishna handicraft,2,Shop/Merchandise,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.716084576286,85.3099118032157,325
Trekking shop,2,Trekking,i_fin_revenue_chng_2020_v_2019,2,6.0,7,Revenue became 75% of 2019,राजस्व २०१९ को ७५% भयो ,27.71574,85.30944,326
Natural nepal export,2,Shop/Merchandise,i_fin_revenue_chng_2020_v_2019,1,1.0,1,Revenue remained the same,राजस्व उही रह्यो,27.71736,85.31034,327
Shisha Lounge & Bar Pvt Ltd,1,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7153038584918,85.3103238891712,328
Cuisine Court,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.719115,85.332184,329
Art Summit Holiday Pvt Ltd,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7175,85.32594,330
Spa kinjjala pvt ltd.,2,Other,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.67812,85.30827,331
Grill n’ Chill Restro and Bar,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,28.22345,83.9888,332
Hotel Vinayak pvt ltd,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,26.98806,85.89996,333
The  cashmere store,1,Handicraft,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,28.2044184,83.9644088,334
3 Sisters Adventure Trekking P(Ltd),1,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,28.2198688,83.9580593,335
Nepal Pyramids Pvt Ltd,1,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7650888094923,85.363349712796,336
Eco craft collection,1,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7169496294368,85.310175951392,337
Royal handicraft,1,Handicraft,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7155286407712,85.3113662974226,338
Mechi resort Pvt Ltd & Maina travels and tours Pvt Ltd,2,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,28.2072939,83.9578631,339
Apex himalaya trek and expedition,2,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7104423,85.3109739,340
Ghumante The Traveller adventure pvt ltd,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7392974199588,85.3239723928859,341
Kailash cafe & bar,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7160368463001,85.3104862262585,342
Green Boutique Hotel,2,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7210567730833,85.3653754560733,343
Demeter Handicrafts,2,Handicraft,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7207596166803,85.3607724987554,344
Nepal Highland Treks P Ltd,2,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7166059299288,85.3117833730153,345
Krishna handicraft,2,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.716084576286,85.3099118032157,346
Mithila women handicraft,2,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7130115973909,85.3125155738383,347
Attractive Travels and Tours Pvt. Ltd.,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7176441116934,85.3093493859829,348
Carrot holidays pvt ltd,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.6882985387026,85.3324406541961,349
DBRAND SOLUTION PVT LTD,2,Other,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.6924011815381,85.3301440109144,350
Agaman hotel,2,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7349334767156,85.3143232244077,351
Reggae Bar Restaurant & lounge pvt ltd,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7147492,85.3102089,352
Swotah Travel and Adventure Pvt. Ltd.,1,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7174198,85.3260471,353
Nepali Ghar Hotel Pvt Ltd,1,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7165403,85.3129886,354
Outlandish Nepal Holidays Ltd.,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.6742617216237,85.3691647550934,355
Orbit Nepal Adventure,1,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71305,85.31126,356
Natural nepal export,2,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71736,85.31034,357
Yakety Yak Hostel,1,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7133876,85.31238,358
Namaste Spa Pvt.Ltd,2,Other,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7151,85.312,359
Hotel,1,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71217,85.30787,360
R.R.Jewellery,2,Handicraft,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7137093,85.3123409,361
Avia tours and travels PVT LTD,1,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71423,85.31159,362
ROSHA TRAVELS AND TOURS P. LTD,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71061,85.31213,363
Earth angle trading pvt ltd,2,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71409,85.31012,364
Hiking nepal pvt ltd,1,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71689,85.30937,365
"Handicrafts (felt,woolen. Curio",2,Handicraft,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71442,85.31192,366
B s handicrafts,1,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71316,85.31265,367
Everest Tour Nepal Treks & Expedition Pvt. Ltd.,2,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.69443,85.24896,368
Garden of Hope Treks & Expeditions,2,Trekking,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71459,85.31326,369
Hotel Down Town Pvt. Ltd,2,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71587,85.30982,370
hostel nextdoor,2,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.684944,85.315922,371
Restutant,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71665,85.3099,372
Kathmandu Spa,2,Other,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.7161657,85.3108951,373
Hemp heafquarter,2,Shop/Merchandise,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71587,85.30991,374
Suburb cafe,2,Hotel,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.684759,85.312688,375
Hemp House Nepal Pvt.Ltd,1,Handicraft,o_do_u_know_of_gov_schemes,1,54.0,49,Not aware of any government schemes,म त्यस्ता सरकारी योजनाहरूको बारेमा सचेत छैन।,27.71575,85.30998,376
Kathmandu cityhill Apartmnet,2,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7209932,85.3118557,377
Alliance Treks & Expedition Pvt. Ltd.,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71223,85.31062,378
Backpacker Treks & Expedition Pvt. Ltd,2,Trekking,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7180005590084,85.3097967996561,379
Lotus handicraft,2,Handicraft,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7162829183416,85.3101437234923,380
Mandala Handicrafts,2,Handicraft,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71297,85.31228,381
chitwan forest resort,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.58148,84.49332,382
Rainbow Adventure Nepal,2,Rafting,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7115056,85.3089164,383
Ashirwad export,2,Handicraft,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71892,85.3122,384
Hotel Tharu Garden,2,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.5753519138286,84.5016726992705,385
Golden Cloud Adventure P. Ltd.,2,Trekking,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.710411302506,85.3129580931116,386
Mount everest souvenir house,2,Handicraft,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7135681946502,85.3125867485289,387
Hotel Business,2,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.6632585317559,85.4449016109137,388
Tour and trekking and Expedition,2,Trekking,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7153213473598,85.3117415550944,389
Downtown Restaurant,2,Restaurant and Bar,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.68076,85.31722,390
Hotel Luna Kathmandu,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7167297,85.3120921,391
Naya Nepal collection and export pvt.ltd,1,Handicraft,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.713195,85.3122775,392
Tiger Mountain,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,28.21064,84.04247,393
Hotel Task International Pvt. Ltd.,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,28.2048324,83.9986713,394
Stunning Adventure,2,Trekking,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.6891069867822,85.2478348127655,395
Subhakamana Travels and Tours,1,Travel and Tour Operator,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,28.19899,83.97616,396
Nepal Ascent Treks,1,Trekking,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7119692416278,85.3110869262584,397
Alpine trekking gears pvt.ltd,1,Shop/Merchandise,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7152382,85.3115879,398
Sun N Fun Holidays,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7043,85.33088,399
Hotel Lakeside Pvt. Ltd,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,28.2077552,83.9684899,400
Asian adventure treks and expedition,2,Travel and Tour Operator,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71321,85.31137,401
Pilgrims Guest House P.Ltd,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.717619,85.3115799,402
Harry guest house and restaurant,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,28.21224,83.9626,403
Wish List Nepal Tours and Travels,1,Travel and Tour Operator,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7054130197592,85.3489936269846,404
Om Shanti Spa,2,Other,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71578,85.30945,405
Om Shanti Spa,2,Other,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71578,85.30944,406
Wongchhu Peak Promotion Pvt. Ltd.,1,Trekking,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.71702,85.33378,407
Little buddha restaurant &lounge bar,1,Restaurant and Bar,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,27.7141228,85.3116181,408
HOTEL BLUE MAGNET & MULTIPURPUSE PVT.LTD.,1,Hotel,o_do_u_know_of_gov_schemes,2,37.0,33,Aware about government schemes but haven’t used any, मैले कुनै सरकारी योजना प्रयोग गरेको छैन तर मलाई त्यस्ता योजनाहरूको बारेमा थाहा छ।,28.2148186,83.9618638,409
HOTEL,1,Hotel,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,27.7177391,85.3101198,410
Hotel Tulsi Pokhara,1,Hotel,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,28.2097,83.95798,411
HOTEL HIMALAYA PVT. LTD,1,Hotel,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,27.68413,85.31941,412
Everest outdoor gears pvt ltd,1,Shop/Merchandise,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,27.7156778,85.3113177,413
Green Mansions Jungle Resort,1,Hotel,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,27.5845046127971,84.4711607974195,414
Hotel Crown Plaza,2,Hotel,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,27.7130878,85.3281444,415
Tourism,1,Hotel,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,28.20794,83.95855,416
Splash nepal adventure,1,Rafting,o_do_u_know_of_gov_schemes,3,9.0,8,Have used one or more government schemes,मैले एक वा बढी सरकारी योजनाहरू प्रयोग गरेको छु।,27.7146686256428,85.3109832980832,417
Kathmandu cityhill Apartmnet,2,Hotel,o_econ_impact_revenue_chng_21_v_19,6,7.0,6,Revenue is expected to be higher than 2019,राजस्व २०१९ को भन्दा बढी हुने अपेक्षा गरिएको छ,27.7209932,85.3118557,418
Hemp heafquarter,2,Shop/Merchandise,o_econ_impact_revenue_chng_21_v_19,6,7.0,6,Revenue is expected to be higher than 2019,राजस्व २०१९ को भन्दा बढी हुने अपेक्षा गरिएको छ,27.71587,85.30991,419
Little buddha restaurant &lounge bar,1,Restaurant and Bar,o_econ_impact_revenue_chng_21_v_19,6,7.0,6,Revenue is expected to be higher than 2019,राजस्व २०१९ को भन्दा बढी हुने अपेक्षा गरिएको छ,27.7141228,85.3116181,420
DBRAND SOLUTION PVT LTD,2,Other,o_econ_impact_revenue_chng_21_v_19,6,7.0,6,Revenue is expected to be higher than 2019,राजस्व २०१९ को भन्दा बढी हुने अपेक्षा गरिएको छ,27.6924011815381,85.3301440109144,421
ROSHA TRAVELS AND TOURS P. LTD,2,Travel and Tour Operator,o_econ_impact_revenue_chng_21_v_19,6,7.0,6,Revenue is expected to be higher than 2019,राजस्व २०१९ को भन्दा बढी हुने अपेक्षा गरिएको छ,27.71061,85.31213,422
Hiking nepal pvt ltd,1,Trekking,o_econ_impact_revenue_chng_21_v_19,6,7.0,6,Revenue is expected to be higher than 2019,राजस्व २०१९ को भन्दा बढी हुने अपेक्षा गरिएको छ,27.71689,85.30937,423
Alpine trekking gears pvt.ltd,1,Shop/Merchandise,o_econ_impact_revenue_chng_21_v_19,5,6.0,5,Revenue is expected to be similar to 2019’s revenue,राजस्व २०१९ को राजस्व जस्तै मिल्दो हुने अपेक्षा गरिएको छ,27.7152382,85.3115879,424
The  cashmere store,1,Handicraft,o_econ_impact_revenue_chng_21_v_19,5,6.0,5,Revenue is expected to be similar to 2019’s revenue,राजस्व २०१९ को राजस्व जस्तै मिल्दो हुने अपेक्षा गरिएको छ,28.2044184,83.9644088,425
Nepal Pyramids Pvt Ltd,1,Travel and Tour Operator,o_econ_impact_revenue_chng_21_v_19,5,6.0,5,Revenue is expected to be similar to 2019’s revenue,राजस्व २०१९ को राजस्व जस्तै मिल्दो हुने अपेक्षा गरिएको छ,27.7650888094923,85.363349712796,426
Hotel Business,2,Hotel,o_econ_impact_revenue_chng_21_v_19,5,6.0,5,Revenue is expected to be similar to 2019’s revenue,राजस्व २०१९ को राजस्व जस्तै मिल्दो हुने अपेक्षा गरिएको छ,27.6632585317559,85.4449016109137,427
Mandala Handicrafts,2,Handicraft,o_econ_impact_revenue_chng_21_v_19,5,6.0,5,Revenue is expected to be similar to 2019’s revenue,राजस्व २०१९ को राजस्व जस्तै मिल्दो हुने अपेक्षा गरिएको छ,27.71297,85.31228,428
